Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,Volume,Open Int,Vol/OI,ITM Prob,Moneyness,Bid,Mid,Ask,Change,%Change,OI Chg,Type,Last Trade
6580,0,0,0.00%,0,0,0,0,0,0,0,100.00%,4.16%,277.2,277.9,278.6,unch,unch,11,Call,02/18/26
6585,305.37,0,0.00%,0,0,0,0,2,2,1,100.00%,4.09%,272.2,272.9,273.6,unch,unch,unch,Call,N/A
6590,286.89,0,0.00%,0,0,0,0,0,7,0,100.00%,4.01%,266.7,267.35,268,6.03,2.01%,2,Call,09:45 ET
6595,295.47,0,0.00%,0,0,0,0,2,2,1,100.00%,3.94%,262.2,262.9,263.6,unch,unch,unch,Call,02/19/26
6600,264.81,0,0.00%,0,0,0,0,3,13,0.23,100.00%,3.87%,257.2,257.9,258.6,6.01,2.08%,2,Call,09:45 ET
6605,0,0,0.00%,0,0,0,0,0,0,0,100.00%,3.79%,252.2,252.9,253.6,-42.52,-15.54%,unch,Call,11:03 ET
6610,295.73,0,0.00%,0,0,0,0,0,21,0,100.00%,3.72%,247.2,247.9,248.6,unch,unch,unch,Call,N/A
6615,0,0,0.00%,0,0,0,0,0,0,0,100.00%,3.65%,242.2,242.9,243.6,unch,unch,1,Call,02/18/26
6620,0,0,0.00%,0,0,0,0,0,0,0,100.00%,3.58%,237.6,238.1,238.6,unch,unch,unch,Call,N/A
6625,330.25,0,0.00%,0,0,0,0,0,11,0,100.00%,3.50%,232.3,232.95,233.6,unch,unch,unch,Call,N/A
6630,235,0,0.00%,0,0,0,0,2,1,2,100.00%,3.43%,227.3,227.95,228.6,unch,unch,unch,Call,01/23/26
6635,0,0,0.00%,0,0,0,0,0,0,0,100.00%,3.36%,222.3,223,223.7,-39.39,-14.36%,1,Call,10:09 ET
6640,178.3,0,0.00%,0,0,0,0,0,57,0,100.00%,3.28%,217.3,218,218.7,unch,unch,unch,Call,N/A
6645,250.9,0,0.00%,0,0,0,0,0,1,0,100.00%,3.21%,212.3,213,213.7,unch,unch,-19,Call,02/17/26
6650,218.12,0,0.00%,0,0,0,0,0,15,0,100.00%,3.14%,206.8,207.45,208.1,unch,unch,unch,Call,02/18/26
6655,0,0,0.00%,0,0,0,0,0,18,0,100.00%,3.06%,202.7,203.2,203.7,unch,unch,unch,Call,02/13/26
6660,197.67,0,0.00%,0,0,0,0,1,20,0.05,100.00%,2.99%,197.7,198.2,198.7,unch,unch,18,Call,N/A
6665,225.77,0,0.00%,0,0,0,0,2,0,0,100.00%,2.92%,192.7,193.2,193.7,-45.74,-18.79%,18,Call,10:41 ET
